Timestamp,What week are you reporting for?,Winning Team,Winning player,Winning Player's 6 Pokemon,Losing Team,Losing player,Losing Player's 6 Pokemon,Score,Game 1 Replay (or Youtube link),Game 2 Replay (or N/A if Youtube),Game 3 Replay (or N/A if no third game or Youtube)
9/21/2022 11:06:40,Week 1,Water - International,200Candies - International,Latias / Tapu Fini / Entei / Rillaboom / Stakataka / Urshifu-Single-Strike,Water - Cambridge,Reddo - Cambridge,Politoed / Urshifu-Rapid-Strike / Tsareena / Regieleki / Tornadus / Shedinja,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1669798615,https://replay.pokemonshowdown.com/gen8spikemuthcup-1669798777,n/a
9/21/2022 11:14:58,Week 1,Water - RIT Raikous,Shark - RIT Raikous,Nihilego / Tornadus / Tsareena / Tapu Fini / Heatran / Urshifu-Single-Strike,Water - Oxford,ClickForVictory - Oxford,Urshifu-Single-Strike / Alakazam / Tapu Lele / Suicune / Zapdos / Stakataka,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1669774556,https://replay.pokemonshowdown.com/gen8spikemuthcup-1669778878,N/A
9/21/2022 13:13:51,Week 1,Fire - Midwest,Whatshamidt - Midwest,Heatran / Indeedee / Hatterene / Landorus-Therian / Urshifu-Rapid-Strike / Regieleki,Fire - Akron Blue,Cellosis - Akron Blue,Mimikyu / Doublade / Amoonguss / Hatterene / Glastrier / Vikavolt,2-0,https://youtu.be/EwhTB0X-Ukc,N/A,N/A
9/21/2022 14:25:28,Week 1,Grass - South US,Tanner - South US,Sylveon / Rillaboom / Dragapult / Indeedee-F / Urshifu-Rapid-Strike / Heatran,Grass - Akron Gold,GrumpyW01f - Akron Gold,Politoed / Urshifu-Rapid-Strike / Tsareena / Tornadus / Regieleki / Shedinja,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1669198903,https://replay.pokemonshowdown.com/gen8spikemuthcup-1669202244,n/a
9/21/2022 15:20:55,Week 1,Water - Cambridge,FullCrimp - Cambridge,Stakataka / Zapdos / Incineroar / Tapu Fini / Rillaboom / Clefairy,Water - International,Ester - International,Regieleki / Heatran / Landorus-Therian / Urshifu-Rapid-Strike / Rillaboom / Ninetales-Alola,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1670011615-4w7zxnmqoaoj0ub694hl7t6ql7fdepbpw,https://replay.pokemonshowdown.com/gen8spikemuthcup-1670011805-ewrr3wssldte9qwccoc32mh5d76x3h0pw,N/A
9/21/2022 17:14:13,Week 1,Fire - Midwest,Plumber - Midwest,Urshifu-Single-Strike / Rillaboom / Incineroar / Tapu Fini / Naganadel / Whimsicott,Fire - Akron Blue,Aceee - Akron Blue,Torkoal / Indeedee-F / Hatterene / Regieleki / Landorus / Rillaboom,2-1,https://replay.pokemonshowdown.com/gen8spikemuthcup-1670091509,https://replay.pokemonshowdown.com/gen8spikemuthcup-1670095681,https://replay.pokemonshowdown.com/gen8spikemuthcup-1670098851
9/21/2022 18:45:25,Week 1,Fire - Akron Blue,Crimson - Akron Blue,Sylveon / Gastrodon-East / Dusclops / Incineroar / Regieleki / Urshifu-Single-Strike,Fire - Midwest,DeathVenum - Midwest,Incineroar / Rillaboom / Urshifu-Rapid-Strike / Glastrier / Regieleki / Dusclops,2-0,https://drive.google.com/file/d/1woCMlrUxHkc9mFu2dQBHrmnUWL5BZmDU/view?usp=sharing,https://drive.google.com/file/d/1fVt_reiAMKbBXFPmN6tcNhgmEx2X_LpH/view?usp=sharing,N/A
9/21/2022 22:36:12,Week 1,Electric - Mid Atlantic,Killua - Mid Atlantic,Incineroar / Urshifu-Rapid-Strike / Rillaboom / Regieleki / Tsareena / Mimikyu,Electric - BYU Cougars,Abuz - BYU Cougars,Rillaboom / Dragapult / Volcarona / Urshifu-Single-Strike / Clefairy / Milotic,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1670290955-we0y8lh31r0m0wuukp8ro5bs0hibwx3pw,https://replay.pokemonshowdown.com/gen8spikemuthcup-1670291674-97quf9c6ebphinqh85jhh3u7yel0nw0pw,N/A
9/21/2022 22:55:45,Week 1,Grass - South US,vixyn - South US,Ninetales-Alola / Avalugg / Porygon2 / Tapu-Fini / Rillaboom / Landorus,Grass - Akron Gold,Khai Ho - Akron Gold,Stakataka / Politoed / Primarina / Marowak-Alola / Weezing-Galar / Zapdos,2-1,https://replay.pokemonshowdown.com/gen8spikemuthcup-1670299899-b3m6b4mnecbl4hhzefoex85rlfseqqlpw,https://replay.pokemonshowdown.com/gen8spikemuthcup-1670302859-kqi1kryxovo91w7hso99i4k2hpfc9kmpw,https://replay.pokemonshowdown.com/gen8spikemuthcup-1670305577-pwbugp8zentgpmx2sm1b7627ie6hwrxpw
9/22/2022 18:11:32,Week 1,Electric - Mid Atlantic,Sean Gray - Mid Atlantic,Rillaboom / Urshifu-Rapid-Strike / Incineroar / Regieleki / Landorus / Togekiss,Electric - BYU Cougars,DivineBlaze - BYU Cougars,Indeedee-F / Regieleki / Incineroar / Urshifu-Rapid-Strike / Whimsicott / Tapu Koko,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1670976822,https://replay.pokemonshowdown.com/gen8spikemuthcup-1670981342,N/A
9/22/2022 18:52:50,Week 1,Water - Cambridge,Jamie - Cambridge,Cresselia / Rotom-Wash / Landorus-Therian / Celesteela / Conkeldurr / Torkoal,Water - International,SeaSoil - International,Tapu-Fini / Rillaboom / Landorus / Stakataka / Incineroar / Porygon2,2-1,https://replay.pokemonshowdown.com/gen8spikemuthcup-1670982993,https://replay.pokemonshowdown.com/gen8spikemuthcup-1670983115,https://replay.pokemonshowdown.com/gen8spikemuthcup-1670983254
9/22/2022 18:50:13,Week 1,Grass - South US,Connor - South US,Rillaboom / Ninetales-Alola / Cresselia / Urshifu-Rapid-Strike / Volcarona / Landorus-Therian,Grass - Akron Gold,TheRadicalChef - Akron Gold,Dracovish / Tyranitar / Amoonguss / Incineroar / Landorus / Whimsicott,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1671004809,https://replay.pokemonshowdown.com/gen8spikemuthcup-1671007611,NA
9/22/2022 19:09:10,Week 1,Grass - Texas Long,Squirrel - Texas Long,Hatterene / Indeedee-F / Torkoal / Landorus / Stakataka / Rillaboom,Grass - RIT Incins,Kellice - RIT Incins,Tapu-Lele / Drifblim / Urshifu-Single-Strike / Porygon2 / Araquanid / Landorus,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1671009295,https://replay.pokemonshowdown.com/gen8spikemuthcup-1671014791,N/A
9/23/2022 13:38:55,Week 1,Electric - Mid Atlantic,Nano - Mid Atlantic,Nihilego / Indeedee-F / Dragapult / Rotom-Heat / Urshifu-Rapid-Strike / Rillaboom,Electric - BYU Cougars,Eva - BYU Cougars,Hatterene / Indeedee-F / Ferrothorn / Torkoal / Tapu Fini / Landorus,2-1,https://replay.pokemonshowdown.com/gen8spikemuthcup-1671606150,https://replay.pokemonshowdown.com/gen8spikemuthcup-1668540881,https://replay.pokemonshowdown.com/gen8spikemuthcup-1668544069
