Winning Player's 6 Pokemon,Losing Player's 6 Pokemon,Winning Team
Latias / Tapu Fini / Entei / Rillaboom / Stakataka / Urshifu-Single-Strike,Politoed / Urshifu-Rapid-Strike / Tsareena / Regieleki / Tornadus / Shedinja,0
Nihilego / Tornadus / Tsareena / Tapu Fini / Heatran / Urshifu-Single-Strike,Urshifu-Single-Strike / Alakazam / Tapu Lele / Suicune / Zapdos / Stakataka,0
Heatran / Indeedee / Hatterene / Landorus-Therian / Urshifu-Rapid-Strike / Regieleki,Mimikyu / Doublade / Amoonguss / Hatterene / Glastrier / Vikavolt,0
Sylveon / Rillaboom / Dragapult / Indeedee-F / Urshifu-Rapid-Strike / Heatran,Politoed / Urshifu-Rapid-Strike / Tsareena / Tornadus / Regieleki / Shedinja,0
Stakataka / Zapdos / Incineroar / Tapu Fini / Rillaboom / Clefairy,Regieleki / Heatran / Landorus-Therian / Urshifu-Rapid-Strike / Rillaboom / Ninetales-Alola,0
Urshifu-Single-Strike / Rillaboom / Incineroar / Tapu Fini / Naganadel / Whimsicott,Torkoal / Indeedee-F / Hatterene / Regieleki / Landorus / Rillaboom,0
Sylveon / Gastrodon / Dusclops / Incineroar / Regieleki / Urshifu-Single-Strike,Incineroar / Rillaboom / Urshifu-Rapid-Strike / Glastrier / Regieleki / Dusclops,0
Incineroar / Urshifu-Rapid-Strike / Rillaboom / Regieleki / Tsareena / Mimikyu,Rillaboom / Dragapult / Volcarona / Urshifu-Single-Strike / Clefairy / Milotic,0
Ninetales-Alola / Avalugg / Porygon2 / Tapu Fini / Rillaboom / Landorus,Stakataka / Politoed / Primarina / Marowak-Alola / Weezing-Galar / Zapdos,0
Rillaboom / Urshifu-Rapid-Strike / Incineroar / Regieleki / Landorus / Togekiss,Indeedee-F / Regieleki / Incineroar / Urshifu-Rapid-Strike / Whimsicott / Tapu Koko,0
Cresselia / Rotom-Wash / Landorus-Therian / Celesteela / Conkeldurr / Torkoal,Tapu Fini / Rillaboom / Landorus / Stakataka / Incineroar / Porygon2,0
Rillaboom / Ninetales-Alola / Cresselia / Urshifu-Rapid-Strike / Volcarona / Landorus-Therian,Dracovish / Tyranitar / Amoonguss / Incineroar / Landorus / Whimsicott,0
Hatterene / Indeedee-F / Torkoal / Landorus / Stakataka / Rillaboom,Tapu Lele / Drifblim / Urshifu-Single-Strike / Porygon2 / Araquanid / Landorus,0
Nihilego / Indeedee-F / Dragapult / Rotom-Heat / Urshifu-Rapid-Strike / Rillaboom,Hatterene / Indeedee-F / Ferrothorn / Torkoal / Tapu Fini / Landorus,0
Incineroar / Urshifu-Rapid-Strike / Kartana / Ninetales-Alola / Zapdos / Nidoqueen,Politoed / Urshifu-Rapid-Strike / Tsareena / Regieleki / Tornadus / Shedinja,0
Regieleki / Zapdos-Galar / Tsareena / Nihilego / Garchomp / Incineroar,Stakataka / Zapdos-Galar / Amoonguss / Incineroar / Rillaboom / Heatran,0
Porygon2 / Indeedee-F / Torkoal / Venusaur / Stakataka / Zapdos-Galar,Thundurus-Therian / Indeedee-F / Incineroar / Stakataka / Primarina / Rillaboom,0
Naganadel / Buzzwole / Thundurus / Tapu Fini / Rillaboom / Stakataka,Urshifu-Rapid-Strike / Tsareena / Celesteela / Charizard / Torkoal / Dusclops,0
Tapu Lele / Urshifu-Rapid-Strike / Naganadel / Heatran / Amoonguss / Drifblim,Blacephalon / Torkoal / Venusaur / Grimmsnarl / Landorus-Therian / Snorlax,0
Tapu Lele / Drifblim / Landorus / Heatran / Incineroar / Rillaboom,Drapion / Kommo-o / Amoonguss / Slowbro / Sirfetchd / Incineroar,0
Incineroar / Rillaboom / Landorus / Ninetales-Alola / Urshifu-Rapid-Strike / Butterfree,Indeedee-F / Amoonguss / Porygon2 / Incineroar / Hatterene / Stakataka,0
Rillaboom / Incineroar / Urshifu-Rapid-Strike / Togekiss / Nihilego / Volcarona,Hatterene / Reuniclus / Toxapex / Dragonite / Celesteela / Urshifu-Rapid-Strike,0
Nihilego / Togekiss / Rillaboom / Urshifu-Rapid-Strike / Volcarona / Raichu,Incineroar / Urshifu-Rapid-Strike / Rillaboom / Clefairy / Corviknight / Gastrodon,0
Walrein / Gardevoir / Garchomp / Celesteela / Talonflame / Golisopod,Hatterene / Indeedee-F / Torkoal / Lilligant / Stakataka / Mudsdale,0
Rillaboom / Urshifu-Rapid-Strike / Incineroar / Regieleki / Landorus / Togekiss,Rillaboom / Dragapult / Volcarona / Urshifu-Rapid-Strike / Clefairy / Celesteela,0
Nidoqueen / Celesteela / Whimsicott / Regieleki / Tsareena / Tapu Fini,Dragapult / Urshifu-Rapid-Strike / Nihilego / Heatran / Regieleki / Kangaskhan,0
Incineroar / Nihilego / Regidrago / Kartana / Tornadus / Urshifu-Rapid-Strike,Tapu Lele / Urshifu-Rapid-Strike / Naganadel / Amoonguss / Heatran / Drifblim,0
Grimmsnarl / Hatterene / Conkeldurr / Torkoal / Lilligant / Gengar,Tapu Lele / Naganadel / Whimsicott / Incineroar / Urshifu-Rapid-Strike / Kartana,0
Rillaboom / Urshifu-Rapid-Strike / Nihilego / Grimmsnarl / Kommo-o / Heatran,Indeedee-F / Hatterene / Stakataka / Landorus / Lilligant / Torkoal,0
Kartana / Regieleki / Moltres-Galar / Dusclops / Tapu Fini / Glastrier,Kartana / Tapu Fini / Incineroar / Porygon2 / Raichu / Celesteela,0
Rillaboom / Dragapult / Volcarona / Urshifu-Rapid-Strike / Clefairy / Celesteela,Clefairy / Rillaboom / Nihilego / Dragonite / Urshifu-Rapid-Strike / Incineroar,0
Celesteela / Regieleki / Urshifu-Rapid-Strike / Amoonguss / Incineroar / Landorus,Indeedee-F / Hatterene / Stakataka / Landorus / Lilligant / Torkoal,0
Crobat / Heatran / Landorus / Urshifu-Rapid-Strike / Rillaboom / Duraludon,Tapu Lele / Regieleki / Rillaboom / Nihilego / Urshifu-Rapid-Strike / Incineroar,0
Politoed / Zapdos / Rillaboom / Heatran / Urshifu-Single-Strike / Grimmsnarl,Incineroar / Landorus / Regieleki / Rillaboom / Tapu Fini / Darmanitan-Galar,0
Incineroar / Rillaboom / Araquanid / Porygon2 / Tapu Lele / Urshifu-Single-Strike,Dracozolt / Tyranitar / Gyarados / Rillaboom / Heatran / Togekiss,0
Tapu Koko / Manectric / Hatterene / Tapu Lele / Dragonite / Reuniclus,Celesteela / Regieleki / Urshifu-Rapid-Strike / Amoonguss / Incineroar / Landorus,0
Tapu Fini / Incineroar / Kartana / Regieleki / Celesteela / Landorus-Therian,Tapu Lele / Drifblim / Dracovish / Tsareena / Heatran / Urshifu-Single-Strike,0
Tyranitar / Entei / Zapdos / Mamoswine / Rillaboom / Tapu Fini,Rillaboom / Incineroar / Nihilego / Urshifu-Rapid-Strike / Whimsicott / Dragapult,0
Rillaboom / Dragapult / Volcarona / Urshifu-Single-Strike / Clefairy / Celesteela,Regieleki / Rillaboom / Incineroar / Walrein / Amoonguss / Landorus,0
Landorus-Therian / Regieleki / Rillaboom / Turtonator / Tapu Fini / Celesteela,Landorus-Therian / Tapu Fini / Rillaboom / Whimsicott / Incineroar / Magnezone,0
Rillaboom / Incineroar / Nihilego / Urshifu-Rapid-Strike / Whimsicott / Dragapult,Hatterene / Indeedee-F / Urshifu-Single-Strike / Heatran / Tapu Fini / Incineroar,0
Spectrier / Regidrago / Incineroar / Whimsicott / Urshifu-Rapid-Strike / Excadrill,Sirfetchd / Zapdos-Galar / Articuno-Galar / Porygon2 / Golduck / Moltres-Galar,0
Indeedee-F / Hatterene / Stakataka / Torkoal / Lilligant / Landorus-Therian,Spectrier / Regidrago / Whimsicott / Gothitelle / Urshifu-Rapid-Strike / Incineroar,0
Incineroar / Cofagrigus / Shuckle / Chansey / Indeedee-F / Reuniclus,Stakataka / Regieleki / Urshifu-Single-Strike / Tsareena / Hatterene / Indeedee,0
