team1,team2,outcome
"['Tornadus', 'Regidrago', 'Gholdengo', 'Landorus', 'Bruxish', 'Urshifu-*']","['Garchomp', 'Tyranitar', 'Rabsca', 'Indeedee-F', 'Metagross', 'Orthworm']",0
"['Araquanid', 'Metagross', 'Tornadus', 'Urshifu-*', 'Sinistcha-Masterpiece', 'Iron Hands']","['Tatsugiri', 'Dondozo', 'Weezing-Galar', 'Regigigas', 'Flutter Mane', 'Chi-Yu']",0
"['Indeedee-F', 'Iron Crown', 'Tornadus', 'Pawmot', 'Okidogi', 'Arcanine-Hisui']","['Flutter Mane', 'Indeedee-F', 'Raging Bolt', 'Landorus', 'Chi-Yu', 'Tornadus']",0
"['Regice', 'Ninetales-Alola', 'Flutter Mane', 'Chi-Yu', 'Iron Hands', 'Salamence']","['Chi-Yu', 'Iron Bundle', 'Ninetales-Alola', 'Weezing', 'Incineroar', 'Urshifu-*']",0
"['Iron Hands', 'Cetitan', 'Amoonguss', 'Torkoal', 'Flutter Mane', 'Tornadus']","['Torterra', 'Ogerpon-Wellspring', 'Gouging Fire', 'Chien-Pao', 'Articuno-Galar', 'Meowstic']",1
"['Ogerpon-Hearthflame', 'Kingambit', 'Chien-Pao', 'Raging Bolt', 'Amoonguss', 'Urshifu-*']","['Scizor', 'Urshifu-*', 'Gyarados', 'Comfey', 'Sylveon', 'Rotom-Heat']",0
"['Chi-Yu', 'Flutter Mane', 'Urshifu-*', 'Glimmora', 'Dondozo', 'Tatsugiri']","['Archaludon', 'Overqwil', 'Urshifu-*', 'Pelipper', 'Ludicolo', 'Landorus']",0
"['Espeon', 'Kommo-o', 'Golduck', 'Smeargle', 'Glalie', 'Ting-Lu']","['Vileplume', 'Torkoal', 'Walking Wake', 'Indeedee-F', 'Ogerpon-Hearthflame', 'Hatterene']",0
"['Archaludon', 'Pelipper', 'Amoonguss', 'Raging Bolt', 'Flutter Mane', 'Basculegion']","['Flutter Mane', 'Entei', 'Urshifu-*', 'Raging Bolt', 'Ogerpon-Wellspring', 'Glimmora']",1
"['Kingambit', 'Gholdengo', 'Incineroar', 'Farigiraf', 'Okidogi', 'Dondozo']","['Whimsicott', 'Iron Crown', 'Indeedee-F', 'Flutter Mane', 'Roaring Moon', 'Iron Hands']",1
"['Cresselia', 'Ursaluna', 'Ogerpon-Cornerstone', 'Sableye', 'Tornadus', 'Glimmora']","['Tornadus', 'Sandy Shocks', 'Ninetales-Alola', 'Landorus-Therian', 'Ogerpon-Wellspring', 'Chi-Yu']",0
"['Tornadus', 'Farigiraf', 'Basculegion', 'Iron Hands', 'Okidogi', 'Landorus']","['Urshifu-*', 'Archaludon', 'Pelipper', 'Amoonguss', 'Baxcalibur', 'Flutter Mane']",1
"['Iron Hands', 'Sinistcha', 'Clefairy', 'Incineroar', 'Ninetales-Alola', 'Pincurchin']","['Indeedee-F', 'Iron Crown', 'Tornadus', 'Pawmot', 'Okidogi', 'Arcanine-Hisui']",1
"['Whimsicott', 'Iron Crown', 'Indeedee-F', 'Flutter Mane', 'Roaring Moon', 'Iron Hands']","['Toxtricity-Low-Key', 'Arcanine-Hisui', 'Ursaluna', 'Flutter Mane', 'Dusclops', 'Oranguru']",0
"['Talonflame', 'Walking Wake', 'Dragonite', 'Chien-Pao', 'Flutter Mane', 'Chi-Yu']","['Archaludon', 'Pelipper', 'Urshifu-*', 'Amoonguss', 'Incineroar', 'Landorus']",1
"['Sandaconda', 'Garchomp', 'Masquerain', 'Houndstone', 'Heatran', 'Tyranitar']","['Flutter Mane', 'Torkoal', 'Raging Bolt', 'Incineroar', 'Farigiraf', 'Lilligant-Hisui']",1
"['Chi-Yu', 'Iron Bundle', 'Ninetales-Alola', 'Weezing', 'Incineroar', 'Urshifu-*']","['Excadrill', 'Tyranitar', 'Tornadus', 'Amoonguss', 'Incineroar', 'Urshifu-*']",1
"['Amoonguss', 'Flutter Mane', 'Landorus-Therian', 'Okidogi', 'Gastrodon-East', 'Ogerpon-Hearthflame']","['Toxtricity-Low-Key', 'Arcanine-Hisui', 'Ursaluna', 'Flutter Mane', 'Dusclops', 'Oranguru']",0
"['Sandslash-Alola', 'Garchomp', 'Okidogi', 'Abomasnow', 'Kingambit', 'Rotom-Mow']","['Primarina', 'Incineroar', 'Rillaboom', 'Thundurus', 'Indeedee-F', 'Iron Crown']",0
